price,price_range_min,price_range_max,location,brand,model,km_driven,vehicle_type,engine_capacity,origin,description,age,Brand_Model
19.9,22.08,25.92,Quận 1,Kawasaki,Dòng khác,99000,Tay côn/Moto,Trên 175 cc,Nhật Bản,"Bán gấp Kawasaki gpz400 1973 Xe zin keng, rất đẹp, có giá trị trưng bày và sưu tầm cao, xem xe ở q1 hcm",46,Kawasaki Dòng khác
100,23.67,27.79,Quận 1,Honda,SH,8000,Tay ga,100 - 175 cc,Nước khác,"SH Ý Zin Ai có nhu cầu mua xe liên hệ sdt.
Xem xe trực tiếp quận 1,hcm",20,Honda SH
14.8,13.62,15.98,Quận 1,SYM,Wolf,10000,Tay côn/Moto,100 - 175 cc,Đài Loan,"Bán xe Wolf 125cc - Tình trạng đồ zin còn 80%, có độ cafe nhẹ
- Máy êm, mạnh, nổ thì thầm
- Hệ thống đèn còi xi nhan còn hoạt động tốt
- Biển số tp, dễ nhìn
- Chia sẽ cho AE cùng đam mê
- Xem xe Quận 1 hoặc Tân Bình( buổi tối)
Cảm ơn chợ tốt đã duyệt tin.",9,SYM Wolf
18.5,13.86,16.27,Quận 1,Yamaha,Exciter,20000,Xe số,100 - 175 cc,Nhật Bản,"Ex zin 2014 xuống áo Ngay chủ Ex 2014 ,máy zin ,nhẹ ,xe xuống áo chuẩn .bstp.xe ngay mình đứng tên. Ae mau lẹ bớt lộc .lh 177 ky con phuong nguyên Thái Bình q.1
### Bạn nào có ab hoac lead trao đổi bù trừ tuy theo đời xe nhé ###",11,Yamaha Exciter
37,36.19,42.49,Quận 1,Honda,Vario,900,Tay ga,100 - 175 cc,Việt Nam,"siêu lướt như mới dính pháp lý hôn nhân Vario 160 2024
Xe nhà ít đi siêu lướt siêu mới
Dính pháp lý hôn nhân chính chủ ghi giấy tay kèm cccd",1,Honda Vario
6,3.91,4.59,Quận 1,Hãng khác,Dòng khác,300000,Tay ga,100 - 175 cc,Đang cập nhật,Xe Vespa paggio xanh Cần bán xe vespa xanh ngọc như hình tại quận 1,24,Hãng khác Dòng khác
11,36.71,43.1,Quận 1,Honda,Air Blade,70000,Tay ga,100 - 175 cc,Nhật Bản,Bán xe ab đầu bò đen nhám Dư xe .cần bán .có fix .mọi chức năng hoạt động bình thường. Khung sườn keng nội thất ko hoen rỉ mục nát .đinh tán còn sơn phết. Có chống trộm .chỉ có dàn áo trầy nhẹ theo năm tháng .miễn trung gian. Xe biển TP .mua bán công chứng giữa người mua bán giao cà vẹt,2,Honda Air Blade
83,42.75,50.19,Quận 1,Honda,Cub,8600,Xe số,100 - 175 cc,Thái Lan,"bán cup125 xe như mới đầy đủ phụ kiện theo xe mới bán cup125 xe như mới đầy đủ phụ kiện theo xe mới 
( lấy xe đen mới mua đưa qua )
Do đổi xe đen nên nhượng lại xe xanh .chỉ để dành đi học . Cavet chính chủ bso đẹp có thể uỷ quyền cho khách đi thoải mái .fix nhẹ cho ae chung đam mê cup125",3,Honda Cub
33,30.13,35.37,Quận 1,Honda,Vario,27000,Tay ga,100 - 175 cc,Việt Nam,"Vario đen bán xe như ảnh chính chủ,uỷ quyền Lần 2 ,mua về chỉ đổ xăng là đi,nhớt,lọc gió mới thay 
lọc gió K&N bớt 500k cho người thiện chí mua
lưu ý : mấy a cò vạc khướu tu hú có thấy tin e đăng thì đừng trả giá dìm e chỉ bớt 500k cho người thiện chí mua sử dụng,còn trả dưới giá e k bán đỡ mất thời gian đôi bên",6,Honda Vario
30,25.09,29.45,Quận 1,Piaggio,Vespa,23000,Tay ga,100 - 175 cc,Nước khác,"Cần bán xe vespa cũ 3vie 125 đời 2016 màu trắng Xe còn chạy tốt, do ít sử dụng nên bán lại
Khách thiện chí có thể thương lượng được giá tốt",9,Piaggio Vespa
65,40.61,47.67,Quận 1,Honda,SH,38000,Tay ga,100 - 175 cc,Nước khác,"Bán nhanh lẹ Hàng quốc dân , anh em ai cũng thích
Dễ chơi , dễ trải nghiệm

SH150 ý đời 2008 dọn full fom ý anh em nhìn hình đánh giá em bán nhanh gọn lẹ 6xxx tiểu học anh em dễ chơi ... Công chúng mua bán nhanh gọn lẹ sau khi giao dịch thành công em ở Q1 em Khanh lubu 9 tuổi ***",17,Honda SH
29.9,26.31,30.89,Quận 1,Honda,Vision,2642,Tay ga,100 - 175 cc,Việt Nam,"Honda Vision 2022 mới 99% màu xanh đen (nhám) Honda vision
Đời : 2022
Giá : 29 tr 900k
- Hãng xe: honda
- Đăng kí : Bao rút hồ sơ,đảm bảo giấy tờ sang tên thoải mái
- Dung tích : 110cc phun xăng điện tử FI
- Màu : XANH ĐEN
- Cam kết: động cơ và máy nguyên zin, xe không đâm đụng,không ngập nước.",3,Honda Vision
9,8.28,9.73,Quận 1,Honda,Wave,450000,Xe số,100 - 175 cc,Việt Nam,"Wave S giá thương lượng - Xe nhà, ít dùng nên bán
- Lốp xe mới, ngoại hình còn mới, máy chạy êm
- Giá thương lượng cho khách thiện chí",10,Honda Wave
15,7.94,9.32,Quận 1,Honda,Wave,6000,Xe số,100 - 175 cc,Việt Nam,Do đổi xe cần sang xe Bán xe wave RSX fi 2014 cần bán giữ kỹ chạy ít cho ai có nhu cầu cần thiết sử dụng nhanh gọn bớt chút lộc cho ai tới sớm,11,Honda Wave
31.999,72.21,84.76,Quận 1,Honda,CBR,9999,Tay côn/Moto,100 - 175 cc,Nước khác,honda CBR150 Cần bán cbr150 năm 2019. Xe ít đi. Anh chị nào quan tâm xin liên lạc xem xe. Xin cảm ơn anh chị đã đọc tin!,6,Honda CBR
350,322,378,Quận 1,KTM,1290 Super Duke R,13000,Tay côn/Moto,Trên 175 cc,Nước khác,"Không có nhu cầu chạy xe nhượng lại cho anh em cân Xe Ít đi, anh em xem xe thì nhắn tin cho tôi trước.
Xem xe ở Vinhomes Central Park (Bình Thạnh, HCM)",11,KTM 1290 Super Duke R
19,16.51,19.38,Quận 1,Honda,Winner X,5000,Tay côn/Moto,100 - 175 cc,Việt Nam,"Bán xe Winner X 2019 Kẹt tiền cần bán gấp, xe mua cho con chạy mà giờ nhóc đi làm nước ngoài ko ai chạy , em cần bán lại. Xe còn mới 90% , bao tranh chấp",6,Honda Winner X
7,5.96,6.99,Quận 1,Honda,SCR,15000,Tay ga,100 - 175 cc,Trung Quốc,"Bán xe tay ga Honda SCR đời đầu 2010 còn chạy tốt Bán xe tay ga Honda SCR đời đầu 2010 còn chạy tốt, xe nữ đi nên máy còn chạy rất êm
Lh: ***",15,Honda SCR
4.3,3.6,4.23,Quận 1,Suzuki,Hayate,55000,Tay ga,100 - 175 cc,Nhật Bản,"Cần bán hayate máy êm bstp Xe bao tranh chấp 
Máy êm 
Biển thành phố
Mua về là sử dụng
Thích hợp cho anh em đi làm 
Giao dịch trực tiếp quận 5 tphcm",14,Suzuki Hayate
32,28.79,33.8,Quận 1,Yamaha,Exciter,48364,Tay côn/Moto,100 - 175 cc,Nhật Bản,"cần bán Ex155 chính chủ, bstp. Xe Bstp, sang tên, hay uỷ quyền đều được. Xem xe tại q.1. Lh sdt/zalo: ***",3,Yamaha Exciter
12.5,10.39,12.2,Quận 1,Honda,Wave,30000,Xe số,100 - 175 cc,Việt Nam,"ban xe Xe nhà đang đi,đời 2018 chính chủ,máy nguyên zin,giá 12trieu500",7,Honda Wave
87,74.57,87.54,Quận 1,Honda,SH,9500,Tay ga,100 - 175 cc,Việt Nam,"SH150i 2022 ABS, CHÍNH CHỦ CẦN BÁN 🏍️ BÁN XE SH 150i ABS – XE CHÍNH CHỦ ĐỎ ĐẸP NHƯ MỚI, BIỂN SỐ THÀNH PHỐ 🏍️
💰 Giá: 87.000.000đ 
📍 Xe tại: Vũng Tàu

📌 Thông tin xe:

Dòng xe: Honda SH 150i ABS

Màu: Đỏ đô sang trọng

Đăng ký: Tháng 11/2022

Odo: 9.500 km

Biển số thành phố

Tình trạng: Xe chính chủ, đi rất ít, giữ kỹ như mới, chưa từng ngập nước hay đâm đụng

Máy móc zin nguyên bản 100%

🛠️ Xe phù hợp cho anh/chị cần một chiếc tay ga cao cấp, đi êm – kiểu dáng sang trọng – giá hợp lý so với xe mới.",3,Honda SH
43,8.99,10.55,Quận 1,Hãng khác,Dòng khác,5000,Tay ga,100 - 175 cc,Nước khác,"Cần bán xe Vespa Primaria 2019 iget Xe nữ đi lại, máy còn mới, biển số sài gòn đẹp",6,Hãng khác Dòng khác
3.2,3.11,3.66,Quận 1,SYM,Attila,10000,Tay ga,100 - 175 cc,Nhật Bản,Giao dịch tận nhà . Cần giấy tay thì thì manb giấy Xe cũ . Ko chạy đã lâu . Giấy tờ đầy đủ. Cần giấy tay thì mang giấy và viết,16,SYM Attila
21,13.05,15.32,Quận 1,Piaggio,Zip,8000,Tay ga,100 - 175 cc,Việt Nam,"Xe nha ,ich su dung tinh trang xe hoan hao . Xe piaggio ,tât ca ðêu hoat ðông rât tôt xe không thây phu tung tât ca chinh hang",6,Piaggio Zip
70,65.71,77.13,Quận 1,Honda,SH,52000,Tay ga,100 - 175 cc,Nhật Bản,"Cần bán xe Sh 150i VN, thắng cbs màu đen nhám Xe nhà đi kỹ, có trầy theo năm tháng. Xe chính chủ ( ko phải cửa hàng mua bán hay trung gian)
Mẫu 2019, đăng ký t1.2020, chiếc cuối cùng ở Sg, xe màu đen nhám. Máy móc chưa bung. Xe vừa thay ngớt, dây coro, bình, nước mát.
Xem xe tại quận 7.
Ko bán cho Ac cửa hàng hay mô giới. Xe chính chủ đăng ký .",5,Honda SH
10.8,16.31,19.14,Quận 1,Honda,Wave,500,Xe số,50 - 100 cc,Trung Quốc,giấy tờ đầy đủ biển 70 Ngoại hình đẹp - Áo new tem 110 - Phuộc Nice - Cdn nhôm - Võ mới - Rổ Thái - Choá bọng full mới - Máy móc êm nhẹ full chức năng - giấy tờ đầy đủ biển 7”,1,Honda Wave
35.5,31.06,36.46,Quận 1,Yamaha,R,20000,Tay côn/Moto,100 - 175 cc,Việt Nam,"R15.v3 Đen nhám Tình hình là lên cc nên nhượng lại đam mê cho anh em chơi. Xe mình bảo dưỡng định kỳ 3 tháng lần, thay dầu 1.5k km/bình. Mới vào 1 số đồ chơi:
- Phuộc Nitro bình dầu
- Chống đổ sườn
- Pô lon SC (có gắn tiêu)
- Trợ lực fullpass CNC vàng
- Đèn bi cầu trợ sáng Kenzo
- Chắn bùn
- Giá đỡ điện thoại
- Gương cánh gió + xi-nhan (tặng thêm cặp kính zin)
- Túi đựng đồ + pat trên bình xăng.
Bắng này đồ chơi găn thêm cộng bảo dưỡng thường xuyên, nên anh em đừng ép giá nhé.",6,Yamaha R
49,33.12,38.88,Quận 1,Peugeot,Django,1363,Tay ga,50 - 100 cc,Nước khác,"CHÍNH CHỦ BÁN XE CHÍNH HANG XE PHÁP - Hãng xe Pháp nổi tiếng hình Sư tử (PeuGeot)
- Xe đăng ký năm 2021 (2022 và 2023 dính Covid nên xe chạy rất ít) và Nữ chạy cẩn thânh nên còn rất mới, máy móc zin
- Thời gian sử dụng thực tế chưa tới 2 năm
- Giấy tờ Chính Chủ",4,Peugeot Django
64.999999,43.42,50.97,Quận 1,Honda,Click,25000,Xe số,100 - 175 cc,Thái Lan,"Click Thái 125 Trắng 2015 Xe gốc Phú Nhuận, chủ chạy kỹ, ngoại hình đẹp tưng, máy móc chưa chỉnh sửa.
ODO 25k km, ko tua.
Máy móc, phanh nhớt đã được kiểm tra, vệ sinh, bảo dưỡng.

Bao công chứng, giấy tờ hợp lệ
—-
Liên hệ: a Nhựt (Nguyễn Cư Trinh)
SDT: ***",10,Honda Click
11.5,7.98,9.37,Quận 1,Honda,Lead,50000,Tay ga,100 - 175 cc,Việt Nam,"BÁN XE NHÀ Do mới mua xe mới nên em cho ra đi bé này
-Lead 110 cuối 2012, đá chống tắt máy
-Ngoại hình đẹp lung linh 
-Máy móc bao êm 
-Chính chủ ký giấy
Xe em chạy hàng ngày nên anh chị em yên tâm, dư dùng em mới bán, nhà gần Chùa ko nói dóc😄

Anh chị em cần xe Ib hoặc alo *** (mua liền bớt lộc chút đỉnh)",13,Honda Lead
23,24.04,28.22,Quận 1,Honda,Dòng khác,120000,Xe số,100 - 175 cc,Việt Nam,"honda future 2022 Xe mình đang đứng ủy quyền 
Date cao 2022 
Nhận giao lưu với xe ga cho vợ mình 
Xem xe tại quận 1 sau giờ hành Chánh",3,Honda Dòng khác
12.8,8.25,9.68,Quận 1,Honda,@,1,Xe số,100 - 175 cc,Việt Nam,"Wave@ 2018 Hàng về anh chị nào cần xe đi làm đi cày bừa hú em

- Wave@ 2018 , Bstp chính chủ
- Máy móc nguyên êm zin 

Dá : 12tr800 (Bớt lộc)
Call : ***",7,Honda @
4.3,2.15,2.53,Quận 1,SYM,Attila,40000,Tay ga,100 - 175 cc,Đang cập nhật,xe nhà đi ko dùng nữa ai cần ib ạ có trầy theo năm tháng .. máy móc êm . chạy thoải mái về quê bình thường,21,SYM Attila
45,29.93,35.13,Quận 1,Honda,Air Blade,80000,Tay ga,100 - 175 cc,Việt Nam,"Airblade 2020 62+2 Airblade 150 2020 62+2 cần bán :

Full máy 62+2 :

Dên lightspeed

Lòng redleo 62

Full Aracer Mini 5 + Af2 Sensor 4.9 Autotune cực nhạy

Pô zin móc

Lọc gió DNA

Nồi canh theo bài

Đầu zin làm lên

Cam BRT

Họng Gió BRT

Co gió Intake

Kim phun BRT

Pô arka g310

Mâm rcb sơn màu vàng cát

Bộ mạch tăng sáng, demi đổi màu, auto passing chỉnh trên app đt

Yên xe tấn tài

Cặp vỏ michelin gp mới thay

Máy móc hoạt động hoàn hảo do mới bảo trì

Bs tp dễ nhìn


Dá ra đi 4x , x có như không nếu nhiệt tình

Xe công chứng 1 nốt nhạc do ngay chủ đầu tiên

Ae có nhu cầu xin liên hệ",5,Honda Air Blade
22.5,21.1,24.77,Quận 1,Honda,Vision,46000,Tay ga,100 - 175 cc,Việt Nam,visino đỏ nâu đk 2019 Ban vision đỏ nâu dk lần đầu 2019 khóa Smartkey bs tphcm máy zin áo có trầy nhẹ ace nào thích alo mình để hổ trợ giá tốt e k nhận tn cam on ace da xem bai ak,6,Honda Vision
10.8,8.6,10.1,Quận 1,Honda,Air Blade,51000,Tay ga,100 - 175 cc,Việt Nam,Xe nhà dư cần bán ab 2009 fi Xe nhà dư cần bán xe ab 2009 fi phun xăng điện tử tiết kiệm xăng . Máy êm áo đẹp mua về chỉ sử dụng ko làm gì hết BSTP . GTĐĐ ko chính chủ bán bao tranh chấp tại nhà xem xe q1 bớt ít thôi nhé,16,Honda Air Blade
25.8,23.33,27.39,Quận 1,Honda,Future,15000,Xe số,100 - 175 cc,Đang cập nhật,"Future LED 125 đk 11/2021 đen nhám bánh mâm BSTP Đổi xe khác nên mình cần bán lại 1 xe máy Honda Future LED 125 đk 11/2021 đen nhám bánh mâm BSTP.

Xe dán keo nguyên con nên tháo keo là mới keng , xe chính chủ bà xã đứng tên và sử dụng chạy ít chủ yếu đi làm văn phòng hằng ngày, ODO đúng 15000 km, máy móc nguyên zin 
bảo trì bảo dưỡng thay nhớt định kỳ đầy đủ
Xe công chứng mua bán sang tên hay ủy quyền đều được

Giá bán : 25 triệu 800 ngàn - ( bác nào có ý định trả giá dưới 25 triệu xin vui lòng ko liên hệ để tránh mất thời gian 2 bên ạ , e xin cảm ơn )

Liên hệ - chủ xe Quyên : 0chin0chin444chin0hai

Xem xe tại : Nhà đinh tiên hoàng Q1",4,Honda Future
140,55.2,64.8,Quận 1,Honda,SH,999,Tay ga,Trên 175 cc,Nước khác,"Bán Sh 300i 2017 Sh 3 xị chưa bao giờ rẻ như lúc này

#SH300i nhập Ý date 2017

Biển số thành phố chính chủ

Máy móc êm ái Full Pxl Ecu Ate V4 3x Hp

Hỗ trợ anh em về zin không thêm phí

Đồ chơi cơ bản:
Phuộc Ohlins 818 chính hãng
Cặp đĩa Braking chính hãng
Cùm Domino xịn
Nồi sau Malossi 
Set pô cổ titan, móc theo bài

Dá chỉ 12x (lấy phuộc thêm dùm em 13đ)

Bảo hành cục máy cho anh em an tâm sử dụng
Bao quay đầu cho anh em trãi nghiệm
Hỗ trợ góp trực tiếp với shop 50-60% nhận xe
Hỗ trợ góp qua ngân hàng, quẹt thẻ tín dụng

📞 ***
Đc: 293 Vườn Lài, Tân Phú
#368Moto #SH125i #SH150i #sh350",8,Honda SH
12,20.71,24.32,Quận 1,Honda,Air Blade,56688,Tay ga,100 - 175 cc,Đang cập nhật,AB 2017 màu hot đẹp Mình trải nghiệm xong chia lại cho ai đam mê xe ab đời 2017.Xe màu xám tím ca may đẹp máy êm đã thay nhớt đầy đủ.Xe bán 12 triệu(giá này đọc kỹ giúp rồi dt cho mình)Mình chỉ bán cho người sử dụng anh em mua bán xe xin bỏ qua.,8,Honda Air Blade
25.99,20,23.47,Quận 1,Yamaha,Mio,4900,Tay ga,100 - 175 cc,Nhật Bản,"Yamaha Fino 125 Sporty chính chủ Xe Yamaha Mio Fino 125 nhập Indo chính chủ odo 4.900km. Xem xe tại 183/10 Bùi Viện, Phường Phạm Ngũ Lão, Quận 1, TPHCM.
Xem xe liên hệ *** gặp Minh.",3,Yamaha Mio
120,13.7,16.08,Quận 1,Honda,Dòng khác,2,Tay côn/Moto,Trên 175 cc,Nhật Bản,"Bán xe cb500x Honda cb500x 2020 

- xe dàn ngoài đẹp keng, ốc tán zin keng , đồ zin theo xe 

Xe lên đồ chơi: đồ zin còn pô zin và phuộc zin

+ trợ lực YSS
+ phuộc sau YSS
+ chống đổ khung 
+ Thùng nhôm sau 
+ Baga sau 
+ Cặp đèn trợ sáng 
+ cặp đèn ( trong hình k có)
+ Kinh gió
+ Lọc gió K&N

- xe máy móc bảo dưỡng đầy đủ , chuẩn zin, mạnh êm 
- vừa bảo dưỡng thay nhớt và thay nước mát

- xe bs tỉnh Tp Bà rịa , sang tên thuế 1% , chinh chủ ủy quyền hay mua bán sang tên nhanh chóng

Giá : 120 triệu",5,Honda Dòng khác
32,30.13,35.37,Quận 1,Honda,Vario,27000,Tay ga,100 - 175 cc,Thái Lan,"Vario 150 đen nhám nợ nần bán xe m đang đứng uỷ quyền mua bán sang tên hợp lệ 
xe về đổ xăng là chạy",6,Honda Vario
36,28.66,33.64,Quận 1,Honda,MSX 125,3263,Tay ga,100 - 175 cc,Việt Nam,"cần bán sửa dụng 2 tháng
trầy vài vết nhẹ
xe còn mới",2,Honda MSX 125
40,37.85,44.43,Quận 1,Honda,Air Blade,1000,Tay ga,100 - 175 cc,Việt Nam,"ab 125 2021 dky lan đầu 2024 odo chưa đến 1000km ạ, xem xe trực tiếp tại 19a Cống Quỳnh lh em : ***",1,Honda Air Blade
6.8,6.58,7.72,Quận 1,Honda,Wave,23015,Xe số,100 - 175 cc,Việt Nam,xe wave rsx 2011 Mua xe mới nên dư xe wave nhà đi. Mới thay nhớt bố thắng cổ pô. Viết giấy bao tranh chấp giao cà vẹt,14,Honda Wave
8.5,6.68,7.84,Quận 1,Honda,Lead,92000,Tay ga,100 - 175 cc,Việt Nam,Xe chính chủ Nhà dư xe nên cần thanh lý sang tên liền tay . Xem xe tại quận 1 tphcm,15,Honda Lead
120,35.23041803,41.36055492,Quận 1,Royal Enfield,Interceptor 650,11500,Tay côn/Moto,Trên 175 cc,Đang cập nhật,"Bán Royal Enfield 650 interceptor Hết đam mê ra đi em Royal Enfield Interceptor 650 đk 2019 chính chủ biển HN
Odo xe 11500km 
Tặng kèm cặp thùng civi chính hãng + cặp pô dusland chính hãng nốt
Giá cả còn thương lượng",6,Royal Enfield Interceptor 650
12.9,12.59,14.78,Quận 1,Honda,Air Blade,9999,Tay ga,100 - 175 cc,Nhật Bản,"Air Blade zin Xe zin nguyên bản căng đét. Biển SG
Máy zin qúa chất chạy im ru như xe điện
Xe Cầm tl 9chủ kí khó bao tranh chấp …",15,Honda Air Blade
17,12.56,14.75,Quận 1,Hãng khác,Dòng khác,8000,Xe số,50 - 100 cc,Việt Nam,wave alpha 2024 cần bán wave alpha 2024 kiểng nhẹ bstp 9c mới đi được 8000km giá 17tr500k,1,Hãng khác Dòng khác
72,62.76,73.68,Quận 1,Honda,SH,35000,Tay ga,100 - 175 cc,Việt Nam,"shvn2019 150 ABS Như tiêu đề mình cần bán nhanh . chính chủ , bstp dễ nhìn 35036 . vừa dán decal đổi màu xám lampo . dàn chân sơn sporty mới đẹp . máy móc êm ru bảo dưỡng định kỳ . .. cảm ơn chotot duyệt tin",6,Honda SH
106,93.775,110.085,Quận 1,Honda,Rebel,50000,Tay côn/Moto,Trên 175 cc,Đang cập nhật,"Bán xe Honda Rebel 250cc năm 1986 Bán xe Honda Rebel 250cc năm 1986

Xe nhà đang đi giờ em muốn đổi xe khác nên bán lại cho anh em nào yêu thích dòng xe này.

- Dung tích: 250cc
- Năm sản xuất: 1986
- Đồ zin: 95%
- Tình trạng: Hoàn hảo, nguyên bản, xe đẹp

Giấy tờ
- Hải quan chính ngạch
- Xe chính chủ, mua bán sang tên ngay luôn.
- Biển số TP HCM

Tình trạng xe
- Xe đang chạy ngon lành, mượt mà
- Bảo dưỡng định kỳ
- Không cần sửa chữa, mua về chỉ đổ xăng vào chạy
- Xe kiểu dáng huyền thoại, phong cách cổ điển
- Động cơ mạnh mẽ, bền bỉ
- Phù hợp cho những ai yêu thích dòng xe mô tô cổ

Giá bán: 106 triệu

Anh em thiện chí mua liên hệ trực tiếp với em là chính chủ, xem xe tại Quận 1.
Cảm ơn Chợ Tốt đã đăng tin!",39,Honda Rebel
